time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/clip_fraction,train/clip_range,train/n_updates
1,626,2048,3,-95.0,50.0,,,,,,,,,,
2,580,4096,7,-96.29629629629629,50.0,-0.003432750701904297,0.0120976865,-0.009487775288289414,1252.2481879234315,0.0003,-1.9367832571268082,547.69384765625,0.081494140625,0.2,10
3,565,6144,10,-95.0,50.0,-1.5735626220703125e-05,0.009691449,-0.0077732978243147954,1424.654930496216,0.0003,-1.9286100164055824,437.2923278808594,0.042236328125,0.2,20
4,559,8192,14,-91.5,50.0,-6.67572021484375e-06,0.011244401,-0.009823475449229591,1416.9935850143434,0.0003,-1.9182250320911407,550.2667236328125,0.044140625,0.2,30
5,554,10240,18,-92.5,49.82,-2.1457672119140625e-06,0.008814266,-0.010153691939194687,1386.7247556686402,0.0003,-1.9003545336425305,815.7463989257812,0.049169921875,0.2,40
6,552,12288,22,-94.5,49.82,-8.344650268554688e-07,0.0088078715,-0.007062377376132645,1452.4001420974732,0.0003,-1.910695495083928,493.6660461425781,0.037939453125,0.2,50
7,551,14336,25,-93.0,49.89,-1.0728836059570312e-06,0.009062957,-0.010015241890505422,1389.7101921081544,0.0003,-1.9210696630179882,664.35107421875,0.08974609375,0.2,60
8,550,16384,29,-92.5,49.82,-4.76837158203125e-07,0.00936871,-0.011897940919152462,1394.3649785995483,0.0003,-1.9162052728235721,564.7171630859375,0.112158203125,0.2,70
9,551,18432,33,-96.0,49.93,-3.5762786865234375e-07,0.008212024,-0.011232693602505606,1368.6964000701905,0.0003,-1.9126826256513596,778.336669921875,0.094091796875,0.2,80
10,550,20480,37,-88.49,49.99,-2.384185791015625e-07,0.008159479,-0.011085986194666475,1334.6480882644653,0.0003,-1.9093527384102345,646.1192626953125,0.070556640625,0.2,90
11,551,22528,40,-87.99,49.74,0.0,0.012396654,-0.014610235558939167,1383.6948665618897,0.0003,-1.8935337960720062,635.8638916015625,0.128369140625,0.2,100
12,552,24576,44,-89.0,49.75,-1.1920928955078125e-07,0.00858904,-0.008090850172447973,1345.522989654541,0.0003,-1.8913198105990887,531.5601806640625,0.05478515625,0.2,110
13,552,26624,48,-88.5,49.76,0.0,0.009978592,-0.012210041398066095,1337.965175628662,0.0003,-1.8666537895798683,613.3375854492188,0.10498046875,0.2,120
14,553,28672,51,-83.94,49.91,-1.1920928955078125e-07,0.010549497,-0.012752866515074856,1251.1940265655517,0.0003,-1.86758300550282,611.0205688476562,0.090966796875,0.2,130
15,554,30720,55,-86.94,49.92,0.0,0.01844604,-0.010379306817776523,1452.4434412002563,0.0003,-1.8821280654519796,835.869384765625,0.128369140625,0.2,140
16,554,32768,59,-92.0,50.0,0.0,0.009373965,-0.010161820877692662,1295.0578155517578,0.0003,-1.8832251217216254,580.3162841796875,0.0671875,0.2,150
17,554,34816,62,-91.5,50.0,0.0,0.010202418,-0.010592934497981332,1304.447699546814,0.0003,-1.870044144615531,541.0613403320312,0.083251953125,0.2,160
18,554,36864,66,-92.0,50.0,0.0,0.05033744,-0.007903297824668698,1284.3170064926148,0.0003,-1.8706670764833688,507.1349182128906,0.11494140625,0.2,170
19,554,38912,70,-91.0,50.0,0.0,0.007261653,-0.00835695787682198,1226.0847211837768,0.0003,-1.8547706697136164,637.9307861328125,0.08056640625,0.2,180
20,553,40960,73,-90.5,50.0,-1.1920928955078125e-07,0.019667605,-0.006436880433466285,1233.1384925842285,0.0003,-1.861908220499754,492.9504089355469,0.09453125,0.2,190
21,553,43008,77,-93.5,49.99,1.1920928955078125e-07,0.008659346,-0.004737689986359328,1223.1906944274901,0.0003,-1.818010078370571,471.403076171875,0.06533203125,0.2,200
22,553,45056,81,-91.0,49.8,0.0,0.008559227,0.004408145925845019,1289.125550842285,0.0003,-1.8155405946075915,563.0010375976562,0.2376953125,0.2,210
23,552,47104,85,-87.36,49.67,0.0,0.0095889345,-0.00606724550598301,1326.4161394119262,0.0003,-1.7923122268170117,622.8399047851562,0.0990234375,0.2,220
24,553,49152,88,-85.86,49.86,0.0,0.02969122,0.002732546185143292,1570.8216957092286,0.0003,-1.790383281186223,732.4072875976562,0.207568359375,0.2,230
25,553,51200,92,-93.0,50.0,-1.1920928955078125e-07,0.008965696,-0.006099916744278744,1311.0854187011719,0.0003,-1.7639661639928819,567.1790161132812,0.070556640625,0.2,240
26,553,53248,96,-93.5,50.0,-2.384185791015625e-07,0.0071804244,-0.0020120106724789365,1254.2689865112304,0.0003,-1.7765990514308214,498.5400085449219,0.05400390625,0.2,250
27,553,55296,99,-92.5,50.0,0.0,0.006564672,-0.0027085284105851314,1315.7874549865724,0.0003,-1.7207336522638799,417.3465576171875,0.132470703125,0.2,260
28,552,57344,103,-93.0,50.0,0.0,0.011221473,-0.001527071135933511,1312.8133247375488,0.0003,-1.73981974683702,586.703125,0.092138671875,0.2,270
29,552,59392,107,-91.5,50.0,-1.1920928955078125e-07,0.013689918,-0.0008590141747845337,1283.7851234436034,0.0003,-1.788017315417528,632.2924194335938,0.179296875,0.2,280
30,552,61440,111,-93.0,50.0,0.0,0.011257486,-0.0037295912421541288,1265.0851770401,0.0003,-1.747607922181487,510.3703308105469,0.060888671875,0.2,290
31,552,63488,114,-94.0,50.0,0.0,0.0069840644,-0.0036297478422056884,1260.0082471847534,0.0003,-1.752654941007495,567.615966796875,0.099609375,0.2,300
